frame,BrowHeight_L,BrowHeight_R,BrowSpeed_L,BrowSpeed_R,EAR_L,EAR_R,EARSpeed_L,EARSpeed_R,MouthWidth,LipGap,MouthArea,LipCornerLift_L,LipCornerLift_R,UpperLipHeight,LowerLipHeight,CheekWidth_L,CheekWidth_R,JawOpen
0,0.43599544437655446,0.4553900715680364,0.0,0.0,0.13809301386587075,0.38936790506089336,0.0,0.0,0.5138145691644753,0.013380213673542394,0.006874948723999807,0.04892543445485811,0.03520063502982474,0.41848154210461713,0.6804511996766416,0.5702266903765882,0.5670504831097675,0.6876303047600945
1,0.43599873002925654,0.4550635392438616,3.2856527020785897e-06,-0.0003265323241747886,0.1529699957974952,0.3916089048762839,0.014876981931624456,0.002240999815390554,0.5147450079840225,0.013557868688285263,0.0069788452261977255,0.049123134713690765,0.035852907246398245,0.41983501465012624,0.6818992730274815,0.5718045110214593,0.5684218081035106,0.6892964752281094
2,0.43542397865893034,0.4546326889552744,-0.0005747513703261986,-0.0004308502885871923,0.1802676303870263,0.40023861209797806,0.027297634589531106,0.00862970722169415,0.5171729405724371,0.013779042050096018,0.00712614769531942,0.0495561384110651,0.03684461304126139,0.4223632382803527,0.6855156883105324,0.5751243136411686,0.5714807909343489,0.6931938647127476
3,0.4334804300865016,0.4533634658548038,-0.0019435485724287327,-0.0012692231004706178,0.21472077056993422,0.41466855334810876,0.034453140182907904,0.014429941250130696,0.5197834906065463,0.013963955940757292,0.007258233761562843,0.05039789107244268,0.0379089218203599,0.425054176859516,0.689770722081299,0.5788388634035948,0.574913206078202,0.6976886946696678
4,0.4305293174918556,0.45092805158048266,-0.0029511125946460326,-0.002435414274321146,0.25064493652786746,0.4324488564301673,0.03592416595793324,0.017780303082058524,0.5224717930390577,0.014122518644114472,0.00737861763821801,0.05168744631435012,0.03877704860199081,0.4276531770496586,0.6937861496770488,0.5825109431540753,0.5781991182242259,0.7019066199973301
5,0.42715550947396563,0.4481138718164993,-0.0033738080178899454,-0.002814179763983349,0.28507827399277186,0.45123214462290157,0.0344333374649044,0.018783288192734282,0.5249704547705399,0.014235051112915722,0.007472981256429248,0.05282549500580292,0.039551539546691925,0.4298874292788518,0.6969773872021208,0.5858709633878666,0.5812228725803483,0.7052546512557702
6,0.4236849234918288,0.44493319796858005,-0.0034705859821368423,-0.0031806738479192576,0.31598114823296225,0.46999676038197136,0.030902874240190392,0.01876461575906979,0.5271554173036356,0.014284039593967577,0.007529908852939631,0.053851836776541394,0.040108030152932406,0.43200059516414635,0.6994416573182055,0.5888777163771671,0.5838819075050472,0.7077988607665999
7,0.42053185573403773,0.44193690563722854,-0.0031530677577910615,-0.0029962923313515133,0.3420985528019208,0.4869289106216233,0.026117404568958558,0.016932150239651944,0.5290021757728572,0.014308375509848486,0.007569161776484915,0.054671662884131424,0.04047441434522863,0.43401962673855726,0.7014301008884024,0.5915071518815311,0.586186009253227,0.7098313966162841
8,0.4177352858026664,0.439244903324218,-0.00279656993137134,-0.002692002313010533,0.36415762791913037,0.5020640216084303,0.02205907511720956,0.015135110986807032,0.530691156812802,0.014287875376560604,0.007582449111984096,0.05535334719286263,0.0407643996452295,0.43568151464761584,0.703073842721476,0.5937264732748488,0.5881322798479822,0.7114859317855678
9,0.41530352081243327,0.43675799627354167,-0.0024317649902331206,-0.0024869070506763347,0.38267665819819097,0.5155518082526002,0.0185190302790606,0.01348778664416983,0.5321497473922246,0.01425245833402138,0.007584442102167685,0.05593609708562302,0.04091442158195854,0.43698614392213236,0.7044953323974744,0.5955987196403383,0.5897152940895772,0.7129114916763946
