frame,BrowHeight_L,BrowHeight_R,BrowSpeed_L,BrowSpeed_R,EAR_L,EAR_R,EARSpeed_L,EARSpeed_R,MouthWidth,LipGap,MouthArea,LipCornerLift_L,LipCornerLift_R,UpperLipHeight,LowerLipHeight,CheekWidth_L,CheekWidth_R,JawOpen
0,0.40714819628625015,0.4341448667555232,0.0,0.0,0.5041238528194724,0.612321895999765,0.0,0.0,0.5878288119911647,0.17153777708612836,0.10083484771614405,-0.12071726860895854,-0.10756116517967802,0.41176034204767353,0.7935741122723663,0.6759458493737871,0.6402425833112213,0.9650991228938945
1,0.4091408779144748,0.435309257096564,0.001992681628224635,0.0011643903410407663,0.5006814971797224,0.6108982871061054,-0.0034423556397499278,-0.001423608893659667,0.588473595158079,0.17159306432457283,0.10097798746727288,-0.1207535305449823,-0.10741847703213533,0.41412459784996125,0.804399566179844,0.678442678735843,0.6426801571460079,0.9759815423115255
2,0.4123363653289349,0.43636026173737025,0.0031954874144601297,0.0010510046408062634,0.4986882393337988,0.6085839837754973,-0.001993257845923635,-0.002314303330608114,0.5888960436878674,0.17102836995206314,0.10071793042315492,-0.12012602014522088,-0.10639818311981399,0.41932413494429605,0.8163722834352988,0.6819008497978757,0.646050660984189,0.9873914908434075
3,0.41576925886088534,0.43751855218454366,0.0034328935319504206,0.0011582904471734157,0.4968868879984871,0.6057474508198454,-0.001801351335311674,-0.0028365329556518937,0.5893693265064198,0.1694101858610547,0.0998451671442572,-0.11856207597792849,-0.10473178218646455,0.42548630925949144,0.8279470496635949,0.6857503881429577,0.6499268565794782,0.9973498015509548
4,0.4185662256004351,0.43817178249478855,0.0027969667395497666,0.00065323031024489,0.49611967024107156,0.6033907633561657,-0.0007672177574155614,-0.002356687463679674,0.5893463719823108,0.16801998894605322,0.09902197090586443,-0.11707869997282735,-0.10370632501933594,0.43040513425489646,0.838150685641204,0.6889330255692313,0.6532420313348496,1.006163162600384
5,0.42106829931795015,0.438223414956842,0.002502073717515041,5.1632462053419204e-05,0.49577140650177653,0.6020020335498097,-0.0003482637392950294,-0.0013887298063559594,0.5891973982776656,0.16644080933675204,0.09806649182844329,-0.11600281355666535,-0.1033749237889661,0.4344593921964515,0.84700997808063,0.6916937177284859,0.6561645409534643,1.0134431857049002
6,0.4235698863705993,0.43800073819700447,0.0025015870526491346,-0.00022267675983750346,0.4958462530784774,0.6006411336636914,7.484657670087103e-05,-0.0013608998861183164,0.589081708965153,0.1646841271524928,0.09701240706242502,-0.11525449034379003,-0.10354157958004259,0.43764658980478066,0.8555943774418738,0.6940952420049716,0.6588463791309385,1.0202707852974737
7,0.4254058917148792,0.43783684725615346,0.0018360053442799118,-0.00016389094085100808,0.4975345245927187,0.5995939209548445,0.0016882715142412796,-0.0010472127088468897,0.5887463657308121,0.16188548460100724,0.09530949072341435,-0.11314571694631628,-0.10256536194390886,0.4409283697051739,0.8638351702697522,0.696166097605512,0.6611707282411589,1.025713663846985
8,0.427015090227609,0.4378915432411669,0.0016091985127297814,5.4695985013453186e-05,0.49993734324222383,0.5990255696307867,0.002402818649505145,-0.0005683513240578586,0.5883146533972206,0.15849462235903258,0.09324470881847761,-0.1106958154331295,-0.1011983335076376,0.443772651182779,0.8716192233970804,0.697777725715331,0.6631350827717796,1.0301078939908614
9,0.4284571117714556,0.4384701429809295,0.00144202154384665,0.0005785997397625975,0.50157712615466,0.5981230554061628,0.0016397829124361607,-0.0009025142246238405,0.5880416999532825,0.1542021917282647,0.09067731896041076,-0.10756458120618154,-0.09908849801515711,0.44686182784662176,0.878454340643736,0.6991510473205407,0.6650663160482144,1.0326497661964729
10,0.4296359535783017,0.43902518890678727,0.001178841806846076,0.0005550459258577556,0.5027598473397249,0.59754370070941,0.0011827211850649055,-0.000579354696752854,0.5880452790611196,0.14917876698571744,0.08772386966210995,-0.10378126326572433,-0.09622586296233358,0.4502164842171263,0.8841636305209741,0.7002762419628131,0.6666699639614629,1.0333340491679375
11,0.43057249211955745,0.4393709843939148,0.0009365385412557492,0.0003457954871275426,0.5039405772701011,0.596765270790104,0.001180729930376212,-0.0007784299193059896,0.5880569217759692,0.14278072793050378,0.0839631953557442,-0.09853730109144834,-0.09186832003559976,0.4541375482273922,0.888894520990984,0.7009883534617263,0.667883215803832,1.0316644281154097
12,0.43123399065370266,0.43959535719566895,0.0006614985341452106,0.00022437280175413576,0.5040295232851786,0.5953479776571672,8.894601507747346e-05,-0.0014172931329368144,0.5880109705296469,0.13567261323367322,0.0797769849818256,-0.09272147871394143,-0.08694469313713798,0.4579299349980674,0.8930159712586473,0.701324330824368,0.6687615074357589,1.028674908139268
13,0.43120506047119816,0.43989547407357193,-2.8930182504494084e-05,0.00030011687790298947,0.5044209606869794,0.5945587202573748,0.0003914374018008093,-0.000789257399792409,0.588074908024924,0.1282899210717687,0.07544408353480514,-0.08683069795698432,-0.08220773529936289,0.4611387780808174,0.8970290333030455,0.7014910943778494,0.669295791273053,1.0252995866281385
14,0.43040738766030856,0.44032660692886605,-0.0007976728108896047,0.00043113285529411405,0.5038198306067966,0.5932012920296044,-0.0006011300801828101,-0.0013574282277704075,0.5884420728395445,0.12224436010641282,0.07193372465396128,-0.082093853889191,-0.07787165558981163,0.46339965098236136,0.9010182422586676,0.7015757240279645,0.6693853748709182,1.0232330895184454
15,0.4291900343182416,0.4408097766227238,-0.0012173533420669624,0.00048316969385775455,0.5055122289793594,0.5937252261371249,0.0016923983725628533,0.0005239341075204962,0.5886752236858054,0.11732485294562696,0.06906623405167117,-0.07834807823384939,-0.07439401680179161,0.46511027545176375,0.9035764545609551,0.7018802534987559,0.669164507935635,1.0208578860126747
16,0.42846234234955166,0.4417706578293501,-0.0007276919686899364,0.0009608812066262962,0.5086438948881754,0.5950521142078076,0.0031316659088159726,0.001326888070682708,0.5882667726304542,0.112909908688152,0.06642114758197847,-0.0744308464693413,-0.07153010136886748,0.46623682294297675,0.9043590169942256,0.7018395915592464,0.6678448641865152,1.0172070864192104
17,0.4282889932460092,0.4425779486474302,-0.0001733491035424417,0.0008072908180801197,0.5115953234581886,0.5970482547836928,0.0029514285700131815,0.0019961405758852635,0.5879274237237768,0.11065296963341444,0.06505591536395866,-0.07162550226922001,-0.06944878308398718,0.46625775832728567,0.9031172896841155,0.7016837784596767,0.6659408730491154,1.013685222827973
18,0.4285048578322926,0.44309462279957357,0.00021586458628336525,0.0005166741521433482,0.5148022563682263,0.5999479305483228,0.0032069329100377075,0.0028996757646300164,0.5874294957689884,0.11084514360856489,0.06511370681842038,-0.06960246825739248,-0.0685802739877747,0.46553468664434056,0.9007749427063714,0.7015789962604921,0.6642009337416148,1.0115081011441391
19,0.4288208681983948,0.4435192769910402,0.0003160103661022373,0.0004246541914666446,0.5180420210246499,0.6032489093381196,0.003239764656423616,0.003300978789796738,0.5871009630857769,0.11045205127207164,0.06484650567663286,-0.06785393889557491,-0.0671721215385567,0.46515248338782333,0.8989017305367211,0.7012919473668696,0.6624087141271223,1.0092186417499391
20,0.42983424719479923,0.4444827710947939,0.0010133789964044126,0.0009634941037536815,0.5173773294998798,0.6042560847340549,-0.0006646915247701113,0.0010071753959353114,0.587031502109222,0.108768570971114,0.06385057759944657,-0.06538957730179557,-0.06500209645877664,0.4662095959579081,0.8978421732001183,0.7014211545403402,0.6610409062147371,1.0064619873152107
21,0.43529942741134164,0.44974307529044866,0.005465180216542409,0.005260304195654764,0.49785721951390255,0.5966284802518456,-0.019520109985977252,-0.007627604482209338,0.5878040911243266,0.10887594009817798,0.06399772301471614,-0.06431365397567064,-0.06414678911015173,0.4667871505326163,0.8971110182071386,0.7022475266086702,0.660332480633533,1.0058262968756926
